Random Walk,Best Improvement,First Improvement - Random Search,First Improvement - Any Conflict,Simulated Annealing,Algoritmo Genético,DSATUR
110,0,6,1,81,154,0
90,2,3,1,104,162,0
112,0,5,4,82,150,0
103,4,11,1,101,163,0
97,2,4,0,87,159,0
99,4,3,2,103,160,0
110,1,3,6,99,164,0
103,1,7,2,104,156,0
103,1,4,0,99,164,0
96,0,6,0,109,153,0
105,1,4,0,97,161,0
113,1,4,2,110,154,0
120,0,3,4,93,160,0
121,3,3,0,98,163,0
93,2,2,2,90,155,0
98,0,3,0,104,161,0
102,0,3,2,97,161,0
84,2,5,0,107,160,0
123,0,6,0,94,155,0
122,0,2,1,99,162,0
115,2,3,1,83,152,0
95,3,7,3,86,166,0
102,3,6,0,88,159,0
102,1,6,2,97,159,0
112,0,6,0,103,157,0
105,4,10,1,92,167,0
105,1,6,2,103,164,0
110,2,7,2,77,164,0
110,2,2,0,79,158,0
123,2,9,0,92,153,0
